id	name
1367	GROUND AND FIRST FLOORS
1368	PLOT 126
1369	UNIT 7B
1370	155A
1371	TY NEWYDD
1372	UNIT 40
1373	15-16
1374	35C
1375	152A
1376	FLAT 3-2
1377	FLAT 401
1378	148A
1379	34C
1380	FLAT 402
1381	SPORTS GROUND
1382	84B
1383	FLAT 305
1384	SITE OFFICE
1385	ROWAN COTTAGE
1386	SECOND FLOOR FLAT 3
1387	81B
1388	PROPOSED FLAT 2
1389	UNIT 38
1390	FLAT 131
1391	82B
1392	PLOT 127
1393	150A
1394	GARAGE 35
1395	PROPOSED FLAT 1
1396	THE SURGERY
1397	157A
1398	APPLE TREE COTTAGE
1399	49-51
1400	FIRST FLOOR FLAT 3
1401	4F
1402	FLAT 207
1403	85B
1404	FLAT 132
1405	40C
1406	FIRST FLOOR FLAT 1
1407	OFFICE AT
1408	ROSEDALE
1409	ST ANDREWS CHURCH
1410	17D
1411	86B
1412	FLAT G/2
1413	UNIT C1
1414	13D
1415	83B
1416	44-46
1417	FORMER 9
1418	OFFICE 7
1419	PETROL FILLING STATION
1420	PLOT OF LAND
1421	12-13
1422	TALL TREES
1423	PLOT 128
1424	REAR FLAT
1425	SEVENTH FLOOR
1426	WALNUT TREE COTTAGE
